TIME_PERIOD,Balance_of_payments,Business_tendency_and_consumer_opinion_surveys,Composite_leading_indicators,Financial_statistics_share_price_index,Financial_statistics_Long-term interest rates,Industry,International_trade,Labour_market_statistics,Consumer_price_indices,GDP
2015-Q1,-9950.728,11.0,99.217,104.1117,2.54,99.2068,-0.170918,71.83637,0.1876173,1627610.5
2015-Q2,-16122.42,9.0,99.39775,104.1995,2.756667,98.60985,-4.743276,72.02551,0.6554307,1630612.4
2015-Q3,-14626.29,12.33333,100.4473,97.31507,2.773333,101.0442,-2.741926,72.12034,0.4651163,1647952.1
2015-Q4,-16007.98,9.0,101.0272,94.37376,2.773333,101.0162,-4.70639,72.50604,0.3703704,1657387.1
2016-Q1,-12338.98,17.0,101.8864,91.08822,2.593333,102.6915,-5.114379,72.53805,-0.1845018,1671354.3
2016-Q2,-13445.18,6.333333,102.6212,95.24955,2.32,102.0217,-1.260566,72.42801,0.3696858,1683468.2
2016-Q3,-10778.15,11.66667,102.7309,98.8079,1.933333,101.7822,0.2113648,72.35397,0.7366483,1685545.3
2016-Q4,-4812.255,22.0,103.7666,99.1341,2.5,102.589,8.898109,72.27993,0.5484461,1702470.3
2017-Q1,-5195.813,19.33333,104.0525,104.4109,2.763333,102.0604,8.279268,72.39843,0.4545455,1706841.1
2017-Q2,-8411.518,16.0,104.7719,105.7792,2.503333,103.4446,2.804708,72.81491,0.1809955,1718525.6
2017-Q3,-10241.92,16.33333,105.7852,104.2,2.646667,104.6087,-4.895963,73.19768,0.6323397,1736107.6
2017-Q4,-12233.1,20.0,106.3111,108.2012,2.643333,104.7242,3.416245,73.45094,0.6283662,1744305.9
2018-Q1,-8377.898,13.0,107.2652,108.6863,2.776667,107.2168,4.272833,73.62077,0.4460303,1759245.5
2018-Q2,-9801.352,19.66667,108.2097,109.3749,2.743333,107.7711,6.437006,73.64737,0.3552398,1774677.0
2018-Q3,-7440.233,15.33333,108.6007,113.6466,2.62,107.8428,9.357461,73.78742,0.4424779,1782889.9
2018-Q4,-4558.462,20.33333,108.8143,105.1127,2.596667,108.2768,10.29642,73.93242,0.5286344,1785660.6
2019-Q1,-1661.208,15.33333,109.3422,109.5613,2.12,108.9258,11.40261,74.06125,0.0,1792868.1
2019-Q2,3306.409,22.66667,110.0532,116.4485,1.63,110.0595,15.83664,74.27474,0.613497,1804490.3
2019-Q3,5543.365,7.0,110.7155,120.9353,1.096667,111.2577,17.62395,74.47119,0.5226481,1816941.8
2019-Q4,2742.469,20.66667,111.2023,122.3597,1.126667,111.7469,12.56433,74.33272,0.6932409,1823929.1
2020-Q1,4550.063,-1.0,110.8739,117.4883,1.006667,111.6242,13.21924,74.48933,0.3442341,1818611.6
2020-Q2,10804.13,-14.0,103.1091,101.6897,0.8966666,108.5798,12.80773,70.61123,-1.886792,1691897.7
2020-Q3,7560.197,2.333333,106.6185,109.3695,0.89,108.6525,9.760626,72.08835,1.573427,1750397.7
2020-Q4,11689.75,20.33333,109.9532,116.2053,0.89,108.5812,11.98809,73.47577,0.8605852,1806519.7
2021-Q1,14131.75,21.0,,123.1831,1.353333,109.8567,17.67919,74.34683,0.5972697,1838799.1
