Date,A3347243W,A3347244X,A3347242V,A3605348C,A3605349F,A82187589L,A82187590W,A3347283R,A3347282L,A3347281K,A3347319F,A3347323W,A3347320R,A3347321T,A85232076T,A3347318C,A3348083R,A3348084T,A3348085V,A3348082L,A85232077V,A85232078W,A85232079X,A3348119F,A3348153K,A3348187J,A3348221A,A3348258F,A3348256A,A3348257C,A3348260T,A3348255X,A85232227R,A85232228T,A3348294R,A85232229V,A85232230C,A3348328A,A85232231F,A85232232J,A3348362F,A85232233K,A85232234L,A3348396C,A3348430W,A3346692K,A3346726W,A3346760A,A3346796C,A3346831X,A2520658X,A2420955W,A2420956X,A2420957A,A2420912W,A3347931A,A3347932C,A3347930X,A3605351T,A3605352V,A82187587J,A82187588K,A3347935K,A3347934J,A3347933F,A3347937R,A3347941F,A3347938T,A3347939V,A85232235R,A3347936L,A3347946T,A3347947V,A3347948W,A3347945R,A85232236T,A85232237V,A85232238W,A3347949X,A3347950J,A3347951K,A3347952L,A3347956W,A3347954T,A3347955V,A3347957X,A3347953R,A85232239X,A85232240J,A3347958A,A85232241K,A85232242L,A3347959C,A85232243R,A85232244T,A3347960L,A85232245V,A85232246W,A3347961R,A3347962T,A3347963V,A3347964W,A3347965X,A3347966A,A3347967C,A2520659A,A2420996T,A2420997V,A2420896J,A3347998V,A3348041T,A3346511L,A3346551F,A3346591X,A3346631F,A3347797X,A3347837F,A3347877X,A3346642L,A3347354L,A3347394F,A3347434L,A3347630W,A3347670R,A3347710W,A3347751T,A3347489W,A3347531R,A2421015R,A2421016T,A2421017V,A2421018W,A2420638T,A3347196T,A3347197V,A3347198W,A3347199X,A3347200W,A3347201X,A3347202A,A3347203C,A3347204F,A3347205J,A3347206K,A3347207L,A3347208R,A3347209T,A3347210A,A3347211C,A3347212F,A3347213J,A3347214K,A2421036A,A2421037C
Jun-00,31549,5122,36363,22063,23157,9986,16421,73979,6749,80769,24366,23333,13747,19865,29721,107517,23707,1243,14280,38934,22188,14542,37924,74436,43443,42601,30977,15423,4181,7861,23733,51010,8840,11757,20276,49064,32967,82051,4340,29967,34266,6392,55844,57203,37922,64480,62742,55789,8280,23594,107442,1051132,92785,0,1143119,4.7,13.7,6.7,15.6,4.2,22.5,-1.2,6.1,-4,5.1,1.5,3.8,-3.9,-0.3,5.6,1.3,2.7,4.5,0,1.9,16.1,11.6,-0.2,6.8,5.4,3.8,5.9,5,5.7,3.6,2.7,3.9,3.4,3.1,3.3,5.8,6.7,6,4.4,5,4.9,11.7,2.1,4.7,5.5,2.2,1.6,5.2,4,2.9,3.6,4,2.9,3.9,20622,28098,76653,16361,41787,31742,32473,17165,30927,25034,51847,15168,31894,15553,37687,29637,34012,6899,13366,51865,608790,52369,0,661159,3.4,4.6,12.6,2.7,6.9,5.2,5.3,2.8,5.1,4.1,8.5,2.5,5.2,2.6,6.2,4.9,5.6,1.1,2.2,8.5,100
Jun-01,32722,5339,37757,27190,23469,10922,17675,79094,7774,87091,25446,23878,13607,20905,29730,109798,24075,1279,14621,39671,18221,11209,34554,63792,43318,44208,32101,15946,4509,7923,24633,52948,9156,12207,21023,50419,32239,83123,4286,29389,33663,7217,61509,63456,40841,65943,63931,58558,8654,24855,111442,1075241,90664,0,1165191,3.7,4.2,3.8,23.2,1.3,9.4,7.6,6.9,15.2,7.8,4.4,2.3,-1,5.2,0,2.1,1.5,2.9,2.4,1.9,-17.9,-22.9,-8.9,-14.3,-0.3,3.8,3.6,3.4,7.8,0.8,3.8,3.8,3.6,3.8,3.7,2.8,-2.2,1.3,-1.2,-1.9,-1.8,12.9,10.1,10.9,7.7,2.3,1.9,5,4.5,5.3,3.7,2.3,-2.3,1.9,24701,35415,77580,17643,36352,32577,33834,18136,32182,26531,54935,16291,36628,17953,39861,32063,36398,7220,13859,53789,643948,61118,0,705066,3.8,5.5,12,2.7,5.6,5.1,5.3,2.8,5,4.1,8.5,2.5,5.7,2.8,6.2,5,5.7,1.1,2.2,8.4,100
Jun-02,33956,5384,38949,27436,23451,11623,17630,79349,8071,87682,25445,24209,14786,21152,30523,112814,23986,1301,15340,40203,20770,12877,38362,71737,44517,46990,32167,16928,4240,8287,25539,54717,9433,12636,21708,51352,38166,88489,4392,30766,35076,8329,61996,66569,43345,68989,65402,62076,8713,25146,112730,1118065,94470,0,1211815,3.8,0.9,3.2,0.9,-0.1,6.4,-0.3,0.3,3.8,0.7,0,1.4,8.7,1.2,2.7,2.7,-0.4,1.7,4.9,1.3,14,14.9,11,12.5,2.8,6.3,0.2,6.2,-6,4.6,3.7,3.3,3,3.5,3.3,1.9,18.4,6.5,2.5,4.7,4.2,15.4,0.8,4.9,6.1,4.6,2.3,6,0.7,1.2,1.2,4,4.2,4,29778,36571,79646,19040,42986,35615,37039,18381,34316,27703,57001,17616,39024,20096,43053,33788,39068,7413,15165,57201,690500,63753,0,754253,4.3,5.3,11.5,2.8,6.2,5.2,5.4,2.7,5,4,8.3,2.6,5.7,2.9,6.2,4.9,5.7,1.1,2.2,8.3,100
Jun-03,25163,5266,30535,27439,21979,15231,18144,78908,8543,87785,25702,25575,15359,22691,31324,117163,24020,1320,15363,40282,23675,15025,44966,83471,46577,49232,33164,18116,4791,8710,26461,57939,10080,13314,23042,52337,40519,91404,4723,33072,37708,8919,61686,67675,43542,68577,66677,64678,9067,26316,114348,1149256,99298,0,1247999,-25.9,-2.2,-21.6,0,-6.3,31,2.9,-0.6,5.8,0.1,1,5.6,3.9,7.3,2.6,3.9,0.1,1.4,0.2,0.2,14,16.7,17.2,16.4,4.6,4.8,3.1,7,13,5.1,3.6,5.9,6.9,5.4,6.1,1.9,6.2,3.3,7.5,7.5,7.5,7.1,-0.5,1.7,0.5,-0.6,1.9,4.2,4.1,4.6,1.4,2.8,5.1,3,23136,36585,87067,20252,48832,39801,39156,18782,37091,29062,59310,20221,41960,22466,44752,36236,41858,7857,16349,59995,730768,70192,0,800960,3.2,5,11.9,2.8,6.7,5.4,5.4,2.6,5.1,4,8.1,2.8,5.7,3.1,6.1,5,5.7,1.1,2.2,8.2,100
Jun-04,32622,5765,38326,28172,20552,14110,17982,76656,8098,85061,25708,24678,15448,24107,31944,118654,24416,1339,14852,40285,25945,16087,48587,90341,48842,52001,34523,19488,5103,8899,26752,60081,10441,13993,24030,54887,44540,97360,4770,33306,38000,9181,65138,70936,43533,69946,67938,67582,9705,27478,117576,1196256,102973,0,1298611,29.6,9.5,25.5,2.7,-6.5,-7.4,-0.9,-2.9,-5.2,-3.1,0,-3.5,0.6,6.2,2,1.3,1.6,1.5,-3.3,0,9.6,7.1,8.1,8.2,4.9,5.6,4.1,7.6,6.5,2.2,1.1,3.7,3.6,5.1,4.3,4.9,9.9,6.5,1,0.7,0.8,2.9,5.6,4.8,0,2,1.9,4.5,7,4.4,2.8,4.1,3.7,4.1,26366,34359,93771,21390,56693,42467,41854,20672,40407,30933,62667,19977,46031,25354,48243,38029,45840,8611,18042,64206,785912,75127,0,861039,3.4,4.4,11.9,2.7,7.2,5.4,5.3,2.6,5.1,3.9,8,2.5,5.9,3.2,6.1,4.8,5.8,1.1,2.3,8.2,100
Jun-05,34168,5886,39968,27648,23055,17116,17806,80878,8845,90119,26029,24692,15066,24049,30997,117486,24854,1329,14891,40755,26909,19224,49144,94777,50529,54662,36254,20628,5631,9135,28338,63684,10690,14444,24700,59395,44361,102310,4725,33688,38265,9363,66135,72109,45373,72404,69167,70658,10229,26938,123243,1235904,105086,0,1340222,4.7,2.1,4.3,-1.9,12.2,21.3,-1,5.5,9.2,5.9,1.2,0.1,-2.5,-0.2,-3,-1,1.8,-0.7,0.3,1.2,3.7,19.5,1.1,4.9,3.5,5.1,5,5.8,10.4,2.7,5.9,6,2.4,3.2,2.8,8.2,-0.4,5.1,-0.9,1.1,0.7,2,1.5,1.7,4.2,3.5,1.8,4.6,5.4,-2,4.8,3.3,2.1,3.2,26595,46337,95337,22963,62450,44233,43887,22042,44608,32749,68160,21836,50376,27849,50762,41088,49031,8986,18836,69270,847395,74976,0,922371,3.1,5.5,11.3,2.7,7.4,5.2,5.2,2.6,5.3,3.9,8,2.6,5.9,3.3,6,4.8,5.8,1.1,2.2,8.2,100
Jun-06,35234,5979,41110,26476,24978,16909,17646,82269,9058,91733,25691,23769,15007,24965,30356,116732,25723,1330,14629,41412,26546,20737,53898,100890,52107,55267,37216,21548,5951,9231,28777,65481,11053,15094,25672,63151,45098,107007,4926,35305,40056,9658,68829,74888,48205,73861,70052,73926,10369,26810,126808,1270996,107490,0,1377675,3.1,1.6,2.9,-4.2,8.3,-1.2,-0.9,1.7,2.4,1.8,-1.3,-3.7,-0.4,3.8,-2.1,-0.6,3.5,0.1,-1.8,1.6,-1.3,7.9,9.7,6.5,3.1,1.1,2.7,4.5,5.7,1,1.5,2.8,3.4,4.5,3.9,6.3,1.7,4.6,4.3,4.8,4.7,3.2,4.1,3.9,6.2,2,1.3,4.6,1.4,-0.5,2.9,2.8,2.3,2.8,27170,65763,98515,23956,66919,45855,46026,23342,46844,33036,75159,23335,55391,29936,54554,44367,54007,9148,19261,74832,917416,79014,0,996430,3,7.2,10.7,2.6,7.3,5,5,2.5,5.1,3.6,8.2,2.5,6,3.3,5.9,4.8,5.9,1,2.1,8.2,100
Jun-07,28893,5905,34927,30486,26942,18291,18412,89845,9984,100252,26048,23408,16547,24910,30276,119144,25911,1405,14869,41931,27968,22536,56586,106642,53385,59086,38052,23874,6490,9211,29887,69342,11563,16390,27362,73647,44414,117770,4691,33769,38281,9390,72557,77593,50302,77415,71677,76974,11165,27411,128630,1320667,110827,0,1430636,-18,-1.2,-15,15.1,7.9,8.2,4.3,9.2,10.2,9.3,1.4,-1.5,10.3,-0.2,-0.3,2.1,0.7,5.6,1.6,1.3,5.4,8.7,5,5.7,2.5,6.9,2.2,10.8,9,-0.2,3.9,5.9,4.6,8.6,6.6,16.6,-1.5,10.1,-4.8,-4.3,-4.4,-2.8,5.4,3.6,4.3,4.8,2.3,4.1,7.7,2.2,1.4,3.9,3.1,3.8,23917,76809,100845,24877,76214,48632,51035,24915,54437,35080,84889,26136,63378,34786,57298,47087,59800,9261,20189,82429,1002014,84579,0,1086593,2.4,7.7,10.1,2.5,7.6,4.9,5.1,2.5,5.4,3.5,8.5,2.6,6.3,3.5,5.7,4.7,6,0.9,2,8.2,100
Jun-08,31713,5973,37754,35223,27997,19518,16549,91941,11057,103260,26047,24021,18433,25773,30698,123884,26575,1455,14260,42083,28691,24636,61411,114318,55136,62963,38074,25417,6712,9890,31406,73223,12126,17577,29028,81107,42659,123847,4474,32775,37026,9919,74656,80306,53721,77774,73402,80795,11396,27975,130985,1371489,112383,0,1482968,9.8,1.2,8.1,15.5,3.9,6.7,-10.1,2.3,10.7,3,0,2.6,11.4,3.5,1.4,4,2.6,3.5,-4.1,0.4,2.6,9.3,8.5,7.2,3.3,6.6,0.1,6.5,3.4,7.4,5.1,5.6,4.9,7.2,6.1,10.1,-4,5.2,-4.6,-2.9,-3.3,5.6,2.9,3.5,6.8,0.5,2.4,5,2.1,2.1,1.8,3.8,1.4,3.7,27533,83567,108261,26375,83113,53475,55652,26877,58070,37518,91488,29089,71001,38470,58591,49702,66588,10025,21249,91483,1088127,89186,0,1177313,2.5,7.7,9.9,2.4,7.6,4.9,5.1,2.5,5.3,3.4,8.4,2.7,6.5,3.5,5.4,4.6,6.1,0.9,2,8.4,100
Jun-09,37747,6421,44203,34529,30708,21798,15871,95567,11260,107135,25176,21631,18167,24678,28296,117528,27973,1464,14738,43935,29166,24409,65950,119404,55770,63013,37355,23834,6482,10214,32379,72760,12298,17805,29421,88465,35602,124009,4691,34457,38906,11002,77703,84769,50079,82434,75888,86137,12345,28741,134467,1401506,111109,0,1511693,19,7.5,17.1,-2,9.7,11.7,-4.1,3.9,1.8,3.8,-3.3,-9.9,-1.4,-4.2,-7.8,-5.1,5.3,0.6,3.4,4.4,1.7,-0.9,7.4,4.4,1.1,0.1,-1.9,-6.2,-3.4,3.3,3.1,-0.6,1.4,1.3,1.4,9.1,-16.5,0.1,4.8,5.1,5.1,10.9,4.1,5.6,-6.8,6,3.4,6.6,8.3,2.7,2.7,2.2,-1.1,1.9,28879,114984,106357,27628,91258,53627,58143,28699,58908,38901,102213,29422,77574,37233,63699,54507,71233,10368,23068,100718,1177419,82726,0,1260145,2.5,9.8,9,2.3,7.8,4.6,4.9,2.4,5,3.3,8.7,2.5,6.6,3.2,5.4,4.6,6,0.9,2,8.6,100
