Data Item Description,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month
"Agriculture, forestry and fishing (A) ;  Agriculture: Chain volume measures ;",Original,A3347243W,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Agriculture, forestry and fishing (A) ;  Forestry and fishing: Chain volume measures ;",Original,A3347244X,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Agriculture, forestry and fishing (A) ;  Chain volume measures ;",Original,A3347242V,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Mining (B) ;  Coal mining: Chain volume measures ;,Original,A3605348C,Jun-86,Jun-20,35,$ Millions,DERIVED,Annual,6
Mining (B) ;  Oil and gas extraction: Chain volume measures ;,Original,A3605349F,Jun-86,Jun-20,35,$ Millions,DERIVED,Annual,6
Mining (B) ;  Iron ore mining: Chain volume measures ;,Original,A82187589L,Jun-86,Jun-20,35,$ Millions,DERIVED,Annual,6
Mining (B) ;  Other mining: Chain volume measures ;,Original,A82187590W,Jun-86,Jun-20,35,$ Millions,DERIVED,Annual,6
Mining (B) ;  Mining (excluding exploration and mining support services): Chain volume measures ;,Original,A3347283R,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Mining (B) ;  Exploration and mining support services: Chain volume measures ;,Original,A3347282L,Jun-86,Jun-20,35,$ Millions,DERIVED,Annual,6
Mining (B) ;  Chain volume measures ;,Original,A3347281K,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Manufacturing (C) ;  Food, beverage and tobacco products: Chain volume measures ;",Original,A3347319F,Jun-78,Jun-20,43,$ Millions,DERIVED,Annual,6
"Manufacturing (C) ;  Petroleum, coal, chemical and rubber products: Chain volume measures ;",Original,A3347323W,Jun-78,Jun-20,43,$ Millions,DERIVED,Annual,6
Manufacturing (C) ;  Metal products: Chain volume measures ;,Original,A3347320R,Jun-78,Jun-20,43,$ Millions,DERIVED,Annual,6
Manufacturing (C) ;  Machinery and equipment: Chain volume measures ;,Original,A3347321T,Jun-78,Jun-20,43,$ Millions,DERIVED,Annual,6
Manufacturing (C) ;  Other manufacturing: Chain volume measures ;,Original,A85232076T,Jun-87,Jun-20,34,$ Millions,DERIVED,Annual,6
Manufacturing (C) ;  Chain volume measures ;,Original,A3347318C,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Electricity, gas, water and waste services (D) ;  Electricity: Chain volume measures ;",Original,A3348083R,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Electricity, gas, water and waste services (D) ;  Gas: Chain volume measures ;",Original,A3348084T,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Electricity, gas, water and waste services (D) ;  Water supply and waste services: Chain volume measures ;",Original,A3348085V,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Electricity, gas, water and waste services (D) ;  Chain volume measures ;",Original,A3348082L,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Construction (E) ;  Building construction: Chain volume measures ;,Original,A85232077V,Jun-95,Jun-20,26,$ Millions,DERIVED,Annual,6
Construction (E) ;  Heavy and civil engineering construction: Chain volume measures ;,Original,A85232078W,Jun-95,Jun-20,26,$ Millions,DERIVED,Annual,6
Construction (E) ;  Construction services: Chain volume measures ;,Original,A85232079X,Jun-95,Jun-20,26,$ Millions,DERIVED,Annual,6
Construction (E) ;  Chain volume measures ;,Original,A3348119F,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Wholesale trade (F) ;  Chain volume measures ;,Original,A3348153K,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Retail trade (G) ;  Chain volume measures ;,Original,A3348187J,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Accommodation and food services (H) ;  Chain volume measures ;,Original,A3348221A,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Transport, postal and warehousing (I) ;  Road: Chain volume measures ;",Original,A3348258F,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Transport, postal and warehousing (I) ;  Air and space transport: Chain volume measures ;",Original,A3348256A,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Transport, postal and warehousing (I) ;  Rail, pipeline and other transport: Chain volume measures ;",Original,A3348257C,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Transport, postal and warehousing (I) ;  Transport, postal and storage services: Chain volume measures ;",Original,A3348260T,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Transport, postal and warehousing (I) ;  Chain volume measures ;",Original,A3348255X,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Information media and telecommunications (J) ;  Telecommunications services: Chain volume measures ;,Original,A85232227R,Jun-95,Jun-20,26,$ Millions,DERIVED,Annual,6
Information media and telecommunications (J) ;  Other information and media services: Chain volume measures ;,Original,A85232228T,Jun-95,Jun-20,26,$ Millions,DERIVED,Annual,6
Information media and telecommunications (J) ;  Chain volume measures ;,Original,A3348294R,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Financial and insurance services (K) ;  Finance: Chain volume measures ;,Original,A85232229V,Jun-95,Jun-20,26,$ Millions,DERIVED,Annual,6
Financial and insurance services (K) ;  Other financial and insurance services: Chain volume measures ;,Original,A85232230C,Jun-95,Jun-20,26,$ Millions,DERIVED,Annual,6
Financial and insurance services (K) ;  Chain volume measures ;,Original,A3348328A,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Rental, hiring and real estate services (L) ;  Rental and hiring services: Chain volume measures ;",Original,A85232231F,Jun-95,Jun-20,26,$ Millions,DERIVED,Annual,6
"Rental, hiring and real estate services (L) ;  Property operators and real estate services: Chain volume measures ;",Original,A85232232J,Jun-95,Jun-20,26,$ Millions,DERIVED,Annual,6
"Rental, hiring and real estate services (L) ;  Chain volume measures ;",Original,A3348362F,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
"Professional, scientific and technical services (M) ;  Computer system design and related services: Chain volume measures ;",Original,A85232233K,Jun-95,Jun-20,26,$ Millions,DERIVED,Annual,6
"Professional, scientific and technical services (M) ;  Other professional, scientific and technical services: Chain volume measures ;",Original,A85232234L,Jun-95,Jun-20,26,$ Millions,DERIVED,Annual,6
"Professional, scientific and technical services (M) ;  Chain volume measures ;",Original,A3348396C,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Administrative and support services (N) ;  Chain volume measures ;,Original,A3348430W,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Public administration and safety (O) ;  Chain volume measures ;,Original,A3346692K,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Education and training (P) ;  Chain volume measures ;,Original,A3346726W,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Health care and social assistance (Q) ;  Chain volume measures ;,Original,A3346760A,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Arts and recreation services (R) ;  Chain volume measures ;,Original,A3346796C,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Other services (S) ;  Chain volume measures ;,Original,A3346831X,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Ownership of dwellings ;  Chain volume measures ;,Original,A2520658X,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Gross value added at basic prices: Chain volume measures ;,Original,A2420955W,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Taxes less subsidies on products: Chain volume measures ;,Original,A2420956X,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Statistical discrepancy (P): Chain volume measures ;,Original,A2420957A,Jun-75,Jun-20,46,$ Millions,DERIVED,Annual,6
Gross domestic product: Chain volume measures ;,Original,A2420912W,Jun-60,Jun-20,61,$ Millions,DERIVED,Annual,6
