Code,Company,Market Cap,Sector
ASX:CBA,Commonwealth Bank,180.83B,Financials
ASX:BHP,BHP Group Limited,143.91B,Materials
ASX:CSL,CSL,133.16B,Health Care
ASX:WBC,Westpac Banking Corp,97.69B,Financials
ASX:NAB,National Australia Bank,87.88B,Financials
ASX:ANZ,ANZ Banking Group,82.01B,Financials
ASX:FMG,Fortescue Metals Group,69.74B,Materials
ASX:WES,Wesfarmers Limited,62.09B,Consumer Discretionary
ASX:MQG,Macquarie Group,55.54B,Financials
ASX:WOW,Woolworths Group,55.19B,Consumer Staples
ASX:RIO,Rio Tinto,46.52B,Materials
ASX:TLS,Telstra,42.46B,Communication Services
ASX:TCL,Transurban Group,39.32B,Industrials
ASX:GMG,Goodman Group,37.93B,Real Estate
ASX:APT,Afterpay Limited,27.91B,Information Technology
ASX:ALL,Aristocrat Leisure,25.89B,Consumer Discretionary
ASX:WPL,Woodside Petroleum Ltd,23.14B,Energy
ASX:COL,Coles Group Limited,22.76B,Consumer Staples
ASX:NCM,Newcrest Mining Limited,22.56B,Materials
ASX:REA,REA Group Ltd,21.83B,Communication Services
ASX:XRO,Xero Limited,19.25B,Information Technology
ASX:JHX,James Hardie,19.15B,Materials
ASX:SHL,Sonic Healthcare Limited,16.86B,Health Care
ASX:QBE,QBE Insurance Group,16.67B,Financials
ASX:SYD,Sydney Airport Limited,16.46B,Industrials
ASX:STO,Santos,16.04B,Energy
ASX:BXB,Brambles Limited,15.97B,Industrials
ASX:FPH,Fisher & Paykel Healthcare,15.91B,Health Care
ASX:COH,Cochlear,15.13B,Health Care
ASX:REH,Reece Limited,14.75B,Industrials
ASX:ASX,ASX Limited,14.6B,Financials
ASX:SCG,Scentre Group Limited,14.48B,Real Estate
ASX:SUN,Suncorp Group,14.42B,Financials
ASX:RHC,Ramsay Health Care Limited,14.21B,Health Care
ASX:S32,South32,14.11B,Materials
ASX:AMC,Amcor,13.08B,Materials
ASX:IAG,Insurance Australia Group,12.92B,Financials
ASX:NST,Northern Star Resources,12.72B,Materials
ASX:MGR,Mirvac Group,11.58B,Real Estate
ASX:DXS,Dexus,11.42B,Real Estate
ASX:BSL,BlueScope Steel Limited,11.32B,Materials
ASX:SGP,Stockland,11.32B,Real Estate
ASX:TAH,Tabcorp Holdings,11.26B,Consumer Discretionary
ASX:APA,APA Group,10.93B,Utilities
ASX:SEK,Seek,10.74B,Communication Services
ASX:RMD,ResMed Inc,10.64B,Health Care
ASX:AIA,Auckland International Airport Limited,10.5B,Industrials
